Delivery_lead_time,Distance_from_supplier,Quantity,Confirmation_lead_time,Gross_weight,China,Korea,Container_20,Container_40,Total_containers,Container_ratio,Only_container_40,Delivery_date_lateness,Deli_date_lateness_late,Deli_lead_time_late,Confirm_late,Label
1,1791.94,16,0,14005.1856,1,0,1,0,1,10,0,1,1,1,0,1
0,1791.94,252,1,220581.6732,1,0,0,9,9,0,1,1,1,0,1,0
5,3800.3,168,0,147054.4488,0,1,7,2,9,3.4999825,0,5,1,1,0,1
3,3800.3,128,0,112041.4848,0,1,1,4,5,0.249999375,0,3,1,1,0,1
2,3800.3,140,0,122545.374,0,1,0,5,5,0,1,2,1,1,0,1
2,1791.94,64,0,56020.7424,1,0,4,0,4,10,0,2,1,1,0,1
2,1791.94,264,0,231085.5624,1,0,13,2,15,6.4999675,0,2,1,1,0,1
1,1791.94,184,0,161059.6344,1,0,1,6,7,0.166666389,0,1,1,1,0,1
0,1791.94,28,1,24509.0748,1,0,0,1,1,0,1,1,1,0,1,0
1,1791.94,28,1,24509.0748,1,0,0,1,1,0,1,2,1,1,1,1
0,3800.3,28,1,24509.0748,0,1,0,1,1,0,1,1,1,0,1,1
4,3800.3,168,0,147054.4488,0,1,0,6,6,0,1,4,1,1,0,1
2,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,2,1,1,0,1
1,1791.94,112,0,98036.2992,1,0,0,4,4,0,1,1,1,1,0,1
3,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,3,1,1,0,1
2,3800.3,56,0,49018.1496,0,1,0,2,2,0,1,2,1,1,0,1
0,1791.94,324,1,283605.0084,1,0,1,11,12,0.090909008,0,1,1,0,1,1
1,1791.94,56,0,49018.1496,1,0,0,2,2,0,1,1,1,1,0,1
2,3800.3,72,0,63023.3352,0,1,1,2,3,0.4999975,0,2,1,1,0,0
0,3800.3,212,0,185568.7092,0,1,1,7,8,0.142856939,0,0,0,0,0,1
1,1791.94,268,0,234586.8588,1,0,1,9,10,0.111110988,0,1,1,1,0,1
1,1791.94,44,0,38514.2604,1,0,1,1,2,0.99999,0,1,1,1,0,1
0,1791.94,28,0,24509.0748,1,0,0,1,1,0,1,0,0,0,0,1
-1,1791.94,128,2,112041.4848,1,0,1,4,5,0.249999375,0,1,1,0,1,0
0,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,0,0,0,0,1
0,3800.3,124,0,108540.1884,0,1,6,1,7,5.999940001,0,0,0,0,0,1
0,1791.94,224,0,196072.5984,1,0,0,8,8,0,1,0,0,0,0,1
1,3800.3,180,0,157558.338,0,1,6,3,9,1.999993333,0,1,1,1,0,1
1,3800.3,252,0,220581.6732,0,1,0,9,9,0,1,1,1,1,0,1
0,3800.3,108,0,94535.0028,0,1,5,1,6,4.99995,0,0,0,0,0,1
1,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,1,1,1,0,1
-1,3800.3,16,3,14005.1856,0,1,1,0,1,10,0,2,1,0,1,0
1,3800.3,256,0,224082.9696,0,1,16,0,16,10,0,1,1,1,0,1
0,3800.3,156,0,136550.5596,0,1,1,5,6,0.1999996,0,0,0,0,0,0
3,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,3,1,1,0,1
0,3800.3,252,0,220581.6732,0,1,0,9,9,0,1,0,0,0,0,1
1,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,1,1,1,0,1
0,3800.3,176,0,154057.0416,0,1,11,0,11,10,0,0,0,0,0,1
0,3800.3,112,0,98036.2992,0,1,0,4,4,0,1,0,0,0,0,1
0,3800.3,140,0,122545.374,0,1,7,1,8,6.999930001,0,0,0,0,0,1
1,3800.3,16,1,14005.1856,0,1,1,0,1,10,0,2,1,1,1,1
0,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,0,0,0,0,0
1,1791.94,56,0,49018.1496,1,0,0,2,2,0,1,1,1,1,0,1
