Delivery_lead_time,Distance_from_supplier,Quantity,Confirmation_lead_time,Gross_weight,China,Korea,Container_20,Container_40,Total_containers,Container_ratio,Only_container_40,Delivery_date_lateness,Deli_date_lateness_late,Deli_lead_time_late,Confirm_late,Estimated_deli_time,Weekend_Count,Weekday_Count,Holiday_Count,Covid,Label
1,1791.94,16,0,14005.1856,1,0,1,0,1,10.0,0,1,1,1,0,11,4,8,0,0,1
0,1791.94,252,1,220581.6732,1,0,0,9,9,0.0,1,1,1,0,1,7,3,5,0,0,0
5,3800.3,168,0,147054.4488,0,1,7,2,9,3.4999825,0,5,1,1,0,7,2,6,0,0,1
3,3800.3,128,0,112041.4848,0,1,1,4,5,0.249999375,0,3,1,1,0,6,2,5,0,0,1
2,3800.3,140,0,122545.374,0,1,0,5,5,0.0,1,2,1,1,0,7,2,6,0,0,1
2,1791.94,64,0,56020.7424,1,0,4,0,4,10.0,0,2,1,1,0,7,3,5,3,1,1
2,1791.94,264,0,231085.5624,1,0,13,2,15,6.4999675,0,2,1,1,0,9,2,8,7,1,1
1,1791.94,184,0,161059.6344,1,0,1,6,7,0.166666389,0,1,1,1,0,6,2,5,5,1,1
0,1791.94,28,1,24509.0748,1,0,0,1,1,0.0,1,1,1,0,1,7,2,6,5,1,0
1,1791.94,28,1,24509.0748,1,0,0,1,1,0.0,1,2,1,1,1,7,2,6,6,0,1
0,3800.3,28,1,24509.0748,0,1,0,1,1,0.0,1,1,1,0,1,6,2,5,5,0,1
4,3800.3,168,0,147054.4488,0,1,0,6,6,0.0,1,4,1,1,0,2,0,3,1,0,1
2,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,2,1,1,0,3,1,3,0,0,1
1,1791.94,112,0,98036.2992,1,0,0,4,4,0.0,1,1,1,1,0,7,2,6,0,0,1
3,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,3,1,1,0,6,2,5,0,0,1
2,3800.3,56,0,49018.1496,0,1,0,2,2,0.0,1,2,1,1,0,5,2,4,0,0,1
0,1791.94,324,1,283605.0084,1,0,1,11,12,0.090909008,0,1,1,0,1,8,3,6,0,0,1
