Delivery_lead_time,Distance_from_supplier,Confirmation_lead_time,Container_20,Container_ratio,Only_container_40,Deli_date_lateness_late,Deli_lead_time_late,Weekday_Count,Holiday_Count,Label
1,1791.94,0,1,10,0,1,1,8,0,1
0,1791.94,1,0,0,1,1,0,5,0,0
5,3800.3,0,7,3.4999825,0,1,1,6,0,1
3,3800.3,0,1,0.249999375,0,1,1,5,0,1
2,3800.3,0,0,0,1,1,1,6,0,1
2,1791.94,0,4,10,0,1,1,5,3,1
2,1791.94,0,13,6.4999675,0,1,1,8,7,1
1,1791.94,0,1,0.166666389,0,1,1,5,5,1
0,1791.94,1,0,0,1,1,0,6,5,0
1,1791.94,1,0,0,1,1,1,6,6,1
0,3800.3,1,0,0,1,1,0,5,5,1
4,3800.3,0,0,0,1,1,1,3,1,1
2,3800.3,0,0,0,1,1,1,3,0,1
1,1791.94,0,0,0,1,1,1,6,0,1
3,3800.3,0,0,0,1,1,1,5,0,1
2,3800.3,0,0,0,1,1,1,4,0,1
0,1791.94,1,1,0.090909008,0,1,0,6,0,1
1,1791.94,0,0,0,1,1,1,7,0,1
2,3800.3,0,1,0.4999975,0,1,1,4,0,0
0,3800.3,0,1,0.142856939,0,0,0,6,0,1
1,1791.94,0,1,0.111110988,0,1,1,5,0,1
1,1791.94,0,1,0.99999,0,1,1,5,0,1
0,1791.94,0,0,0,1,0,0,7,0,1
-1,1791.94,2,1,0.249999375,0,1,0,6,1,0
0,3800.3,0,0,0,1,0,0,7,1,1
0,3800.3,0,6,5.999940001,0,0,0,7,0,1
0,1791.94,0,0,0,1,0,0,8,0,1
1,3800.3,0,6,1.999993333,0,1,1,10,0,1
1,3800.3,0,0,0,1,1,1,9,0,1
0,3800.3,0,5,4.99995,0,0,0,8,0,1
1,3800.3,0,0,0,1,1,1,5,0,1
-1,3800.3,3,1,10,0,1,0,7,1,0
1,3800.3,0,16,10,0,1,1,4,0,1
0,3800.3,0,1,0.1999996,0,0,0,3,0,0
3,3800.3,0,0,0,1,1,1,2,0,1
0,3800.3,0,0,0,1,0,0,4,0,1
1,3800.3,0,0,0,1,1,1,4,0,1
0,3800.3,0,11,10,0,0,0,7,0,1
0,3800.3,0,0,0,1,0,0,8,0,1
0,3800.3,0,7,6.999930001,0,0,0,8,0,1
1,3800.3,1,1,10,0,1,1,5,0,1
0,3800.3,0,0,0,1,0,0,3,0,0
1,1791.94,0,0,0,1,1,1,5,0,1
1,1791.94,0,0,0,1,1,1,5,0,1
0,1791.94,0,3,0.5999988,0,0,0,5,0,1
1,3800.3,0,6,5.999940001,0,1,1,6,0,1
0,1791.94,0,0,0,1,0,0,7,0,0
0,3800.3,1,1,10,0,1,0,2,0,0
2,3800.3,0,1,0.333332222,0,1,1,5,1,1
1,3800.3,0,0,0,1,1,1,6,0,0
4,3800.3,0,2,0.166666528,0,1,1,5,0,1
2,3800.3,1,0,0,1,1,1,5,0,1
1,3800.3,0,0,0,1,1,1,4,0,1
1,3800.3,0,9,4.4999775,0,1,1,3,0,1
1,3800.3,0,5,10,0,1,1,8,0,1
0,1791.94,0,0,0,1,0,0,6,0,0
3,3800.3,0,6,0.999998333,0,1,1,7,0,1
3,3800.3,0,0,0,1,1,1,9,0,1
1,3800.3,1,0,0,1,1,1,6,0,1
0,3800.3,2,0,0,1,1,0,7,0,0
0,2845.876437,0,0,5.247746603,0,0,0,4,0,0
0,2595.004781,0,0,0,1,0,0,6,0,0
0,3706.578549,0,0,0.190666486,0,0,0,3,0,0
0,3800.3,0,1,9.750677363,0,1,0,2,0,0
0,3332.811351,0,0,7.672286596,0,0,0,3,0,0
0,1973.910339,1,0,0.906064345,0,1,0,6,4,0
0,3800.3,1,1,10,0,1,0,3,0,0
0,2560.061365,0,0,3.824619913,0,0,0,5,0,0
0,3800.3,0,0,0.196645784,0,0,0,3,0,0
0,2729.367924,2,0,0.133308943,0,1,0,6,0,0
0,2073.230085,0,0,1.400595933,0,0,0,7,0,0
1,3800.3,0,0,0.159845431,0,1,1,5,0,0
1,3800.3,0,0,0.274749,0,1,1,4,0,0
0,3773.659183,2,0,9.867350388,0,1,0,6,1,0
0,3684.220318,0,0,0.188439974,0,0,0,3,0,0
0,1791.94,0,0,0,1,0,0,6,2,0
0,2565.995087,0,0,0,1,0,0,6,0,0
0,3768.234018,2,0,9.840337478,0,1,0,6,1,0
0,2255.657924,0,0,0.046178673,0,0,0,4,0,0
0,3800.3,2,0,7.58974534,0,0,0,6,0,0
0,3164.179121,0,0,0.13665243,0,0,0,3,0,0
0,3017.032888,1,0,0,1,1,0,6,0,0
0,2126.944667,1,0,1.668050883,0,1,0,6,4,0
0,3452.121364,1,0,8.266353465,0,1,0,2,0,0
0,3014.909518,0,0,0.121787635,0,0,0,3,0,0
0,2157.935669,0,0,1.822360878,0,0,0,7,0,0
0,3308.977642,1,0,0,1,1,0,6,0,0
0,3800.3,1,0,0.212576874,0,1,0,5,0,0
0,3800.3,2,1,10,0,1,0,5,0,0
0,3800.3,0,0,5.677003278,0,0,0,2,0,0
1,3800.3,0,0,0.484340932,0,0,0,3,0,0
0,3800.3,0,0,0.168456618,0,0,0,3,0,0
0,3800.3,1,0,5.502458666,0,0,0,5,0,0
0,3006.696072,1,0,6.04849764,0,1,0,3,1,0
0,3800.3,0,0,0.733411342,0,1,0,6,0,0
0,2339.676014,0,0,0,1,1,0,6,3,0
