Delivery_lead_time,Distance_from_supplier,Quantity,Confirmation_lead_time,Gross_weight,China,Korea,Container_20,Container_40,Total_containers,Container_ratio,Only_container_40,Delivery_date_lateness,Deli_date_lateness_late,Deli_lead_time_late,Confirm_late,Label
1,3800.3,128,0,231085.5624,0,1,0,1,9,0.1999996,0,0,1,1,0,1
5,1791.94,180,0,147054.4488,0,1,13,0,8,5.999940001,1,0,1,1,0,1
5,1791.94,156,1,122545.374,0,0,1,0,1,0,0,3,1,0,0,0
0,3800.3,28,0,122545.374,1,0,0,0,5,0,0,2,1,0,0,1
2,3800.3,112,0,224082.9696,0,1,6,0,1,0.111110988,1,2,1,1,0,1
0,3800.3,324,1,220581.6732,0,1,1,8,1,10,0,3,1,0,0,1
1,1791.94,28,0,196072.5984,0,1,0,1,1,0.5999988,0,3,1,1,0,1
0,3800.3,28,0,231085.5624,0,0,1,9,1,0.166666528,0,4,1,0,0,0
1,3800.3,168,0,112041.4848,1,1,0,9,5,10,0,1,1,1,0,1
1,3800.3,28,0,161059.6344,0,1,1,4,8,0.1999996,0,1,1,1,0,1
0,3800.3,156,0,234586.8588,0,1,1,1,16,10,1,1,1,1,0,1
2,3800.3,140,0,87532.41,0,1,0,1,16,0.166666389,1,5,1,1,0,1
2,3800.3,64,0,24509.0748,0,1,0,1,9,0,0,2,1,1,0,1
3,3800.3,168,0,161059.6344,0,1,2,1,2,0,0,0,1,1,0,1
0,3800.3,368,0,98036.2992,0,0,1,0,1,10,1,0,1,1,0,1
0,3800.3,188,1,196072.5984,0,1,0,9,9,0,0,2,1,1,1,1
3,1791.94,200,0,24509.0748,0,0,0,1,11,0.142856939,1,1,0,1,0,1
1,3800.3,212,0,322119.2688,0,0,7,1,1,0,0,1,1,1,0,1
1,1791.94,28,0,14005.1856,1,0,1,2,15,10,0,3,1,1,0,1
0,3800.3,28,0,87532.41,0,1,0,1,1,0,1,1,1,1,0,0
0,3800.3,80,0,220581.6732,1,1,1,0,5,10,0,2,1,1,0,1
1,3800.3,16,0,49018.1496,1,1,3,4,1,10,0,3,1,0,0,1
1,3800.3,256,0,220581.6732,0,1,0,1,1,0,0,1,1,0,0,1
-1,1791.94,124,1,24509.0748,0,1,5,4,1,0,0,4,1,0,0,1
2,1791.94,128,0,24509.0748,0,0,0,5,1,0.1999996,1,3,1,1,0,0
0,3800.3,124,1,196072.5984,0,0,1,4,2,10,1,2,0,0,0,1
0,3800.3,72,0,49018.1496,0,1,1,2,5,0,1,5,1,0,0,0
1,3800.3,212,0,220581.6732,0,1,1,0,8,0,0,1,0,1,0,1
3,3800.3,28,0,147054.4488,1,1,5,2,7,0,0,1,1,1,0,1
1,3800.3,56,3,14005.1856,1,0,0,0,16,0,0,2,0,1,0,0
3,3800.3,140,1,63023.3352,1,1,1,5,8,0,1,1,1,1,0,0
1,3800.3,108,0,161059.6344,0,0,0,7,12,0.142856939,0,4,0,1,0,1
4,3800.3,16,0,87532.41,0,0,0,9,8,0.999998333,0,1,1,1,0,0
1,3800.3,264,0,112041.4848,0,1,0,1,1,0,1,0,1,1,0,1
1,1791.94,180,0,112041.4848,0,1,0,9,1,10,0,2,1,1,0,1
1,3800.3,28,2,49018.1496,0,0,0,0,8,0,0,0,1,1,0,1
1,3800.3,252,0,122545.374,0,1,7,0,4,10,1,2,0,1,0,1
2,1791.94,56,0,108540.1884,0,1,0,1,11,10,0,1,1,0,0,1
1,3800.3,56,2,122545.374,1,1,3,1,1,10,0,5,1,1,0,1
2,3800.3,212,0,231085.5624,0,1,0,12,2,0.4999975,1,2,0,0,0,1
0,3800.3,28,0,122545.374,0,1,0,1,5,0,0,0,1,1,0,1
1,1791.94,268,1,122545.374,1,1,3,0,11,10,0,1,1,0,0,1
0,3800.3,28,0,108540.1884,0,1,1,5,1,0.090909008,1,2,1,1,0,1
3,3800.3,108,0,24509.0748,0,1,0,5,15,0.111110988,1,1,1,1,0,0
0,3800.3,28,0,14005.1856,0,1,9,2,5,10,0,0,1,0,0,1
1,3800.3,252,1,14005.1856,1,1,1,0,1,0,0,1,1,1,0,1
