Delivery_lead_time,Distance_from_supplier,Quantity,Confirmation_lead_time,Gross_weight,China,Korea,Container_20,Container_40,Total_containers,Container_ratio,Only_container_40,Delivery_date_lateness,Deli_date_lateness_late,Deli_lead_time_late,Confirm_late,Estimated_deli_time,Weekend_Count,Weekday_Count,Holiday_Count,Covid,Label
1,3800.3,156,0,14005.1856,0,1,0,2,9,5.999940001,1,0,1,1,0,7,3,9,0,0,1
3,3800.3,324,0,220581.6732,0,0,0,1,1,10.0,1,1,0,1,0,6,2,6,7,0,1
1,1791.94,28,2,38514.2604,0,1,0,5,8,0.0,0,2,1,1,0,6,1,3,0,0,0
1,1791.94,168,0,24509.0748,0,1,0,9,9,0.0,1,1,1,1,0,6,3,6,0,0,1
0,3800.3,224,0,157558.338,1,1,1,0,14,0.166666528,0,1,1,0,0,3,2,5,0,1,1
1,1791.94,28,0,157558.338,0,1,0,6,1,0.0,1,1,1,0,0,8,2,5,1,0,0
0,1791.94,128,2,108540.1884,0,1,0,2,4,0.0,0,1,1,1,0,6,2,3,0,0,1
2,3800.3,100,1,14005.1856,1,0,1,2,7,6.999930001,1,1,1,0,0,5,2,5,0,0,1
0,1791.94,176,0,14005.1856,1,1,0,1,1,0.0,0,4,1,1,1,5,2,9,5,0,1
0,3800.3,112,0,70025.928,0,1,0,12,9,0.0,0,1,1,1,0,6,2,7,0,1,1
1,1791.94,56,0,224082.9696,1,1,1,1,10,0.5999988,1,1,1,1,1,5,2,5,3,0,0
1,3800.3,268,0,24509.0748,1,0,1,2,9,10.0,0,2,1,1,0,5,2,8,1,0,1
0,3800.3,64,0,220581.6732,0,1,0,1,5,0.0,0,1,1,1,0,3,2,5,1,0,1
1,1791.94,224,0,136550.5596,1,0,0,6,1,0.0,0,2,1,1,0,8,2,5,1,0,1
0,3800.3,252,0,157558.338,0,1,1,2,6,10.0,1,1,0,0,1,3,0,5,3,0,1
1,1791.94,16,0,24509.0748,1,1,0,1,5,0.0,0,1,1,1,0,8,2,5,0,0,0
2,3800.3,252,0,122545.374,0,1,1,4,3,10.0,1,1,1,1,0,2,0,5,0,1,0
0,3800.3,100,0,220581.6732,0,1,0,0,5,0.0,0,0,1,0,0,3,3,9,0,0,1
0,3800.3,56,1,154057.0416,0,0,0,6,9,0.0,1,1,1,0,0,9,2,5,0,1,1
2,1791.94,184,0,283605.0084,0,1,13,6,1,0.0,0,1,1,1,0,11,4,5,6,0,0
0,1791.94,16,0,14005.1856,0,0,0,9,8,0.999998333,0,0,1,1,0,9,2,5,1,0,1
2,1791.94,128,1,49018.1496,0,0,0,1,5,3.4999825,0,2,1,1,0,6,3,8,0,0,0
0,1791.94,212,0,157558.338,0,1,0,9,8,0.0,1,3,1,0,0,7,1,7,0,0,1
0,3800.3,264,0,98036.2992,0,0,4,5,8,0.333332222,0,1,1,1,0,6,0,5,0,0,1
0,3800.3,168,0,108540.1884,0,0,9,7,8,0.142856939,0,1,1,0,0,6,2,7,0,1,1
0,1791.94,112,0,220581.6732,0,1,0,3,1,0.0,0,1,0,1,0,6,3,5,0,0,1
0,1791.94,168,0,231085.5624,0,1,0,2,1,0.0,0,0,1,0,0,8,2,6,0,0,1
0,1791.94,16,0,147054.4488,0,1,11,0,6,0.0,0,1,1,1,1,4,2,9,0,0,0
0,3800.3,156,0,108540.1884,0,1,1,1,1,0.0,1,2,1,1,0,10,2,8,0,0,1
0,1791.94,252,1,122545.374,1,0,1,1,8,0.111110988,1,1,1,0,0,8,0,10,1,0,1
1,1791.94,264,1,154057.0416,0,0,0,9,9,0.0,0,1,1,1,0,9,2,2,0,0,1
0,3800.3,256,0,283605.0084,0,1,1,8,7,4.4999775,0,3,1,0,0,5,2,3,1,1,0
2,3800.3,28,0,220581.6732,0,1,1,1,9,0.0,1,2,1,0,0,8,2,5,0,0,1
1,3800.3,56,0,14005.1856,0,1,11,1,2,0.0,0,1,1,1,0,6,2,5,0,0,1
1,1791.94,16,0,196072.5984,0,1,3,3,8,4.99995,0,0,1,1,0,3,0,4,7,0,1
1,3800.3,124,0,220581.6732,0,1,0,2,1,10.0,1,1,1,1,0,6,3,5,0,1,1
