Delivery_lead_time,Distance_from_supplier,Confirmation_lead_time,Container_20,Container_ratio,Only_container_40,Deli_date_lateness_late,Deli_lead_time_late,Weekday_Count,Holiday_Count,Label
1,1791.94,0,1,10,0,1,1,8,0,1
0,1791.94,1,0,0,1,1,0,5,0,0
5,3800.3,0,7,3.4999825,0,1,1,6,0,1
3,3800.3,0,1,0.249999375,0,1,1,5,0,1
2,3800.3,0,0,0,1,1,1,6,0,1
2,1791.94,0,4,10,0,1,1,5,3,1
2,1791.94,0,13,6.4999675,0,1,1,8,7,1
1,1791.94,0,1,0.166666389,0,1,1,5,5,1
0,1791.94,1,0,0,1,1,0,6,5,0
1,1791.94,1,0,0,1,1,1,6,6,1
0,3800.3,1,0,0,1,1,0,5,5,1
4,3800.3,0,0,0,1,1,1,3,1,1
2,3800.3,0,0,0,1,1,1,3,0,1
1,1791.94,0,0,0,1,1,1,6,0,1
3,3800.3,0,0,0,1,1,1,5,0,1
2,3800.3,0,0,0,1,1,1,4,0,1
0,1791.94,1,1,0.090909008,0,1,0,6,0,1
1,1791.94,0,0,0,1,1,1,7,0,1
2,3800.3,0,1,0.4999975,0,1,1,4,0,0
0,3800.3,0,1,0.142856939,0,0,0,6,0,1
1,1791.94,0,1,0.111110988,0,1,1,5,0,1
1,1791.94,0,1,0.99999,0,1,1,5,0,1
0,1791.94,0,0,0,1,0,0,7,0,1
-1,1791.94,2,1,0.249999375,0,1,0,6,1,0
0,3800.3,0,0,0,1,0,0,7,1,1
0,3800.3,0,6,5.999940001,0,0,0,7,0,1
0,1791.94,0,0,0,1,0,0,8,0,1
1,3800.3,0,6,1.999993333,0,1,1,10,0,1
1,3800.3,0,0,0,1,1,1,9,0,1
0,3800.3,0,5,4.99995,0,0,0,8,0,1
1,3800.3,0,0,0,1,1,1,5,0,1
-1,3800.3,3,1,10,0,1,0,7,1,0
1,3800.3,0,16,10,0,1,1,4,0,1
0,3800.3,0,1,0.1999996,0,0,0,3,0,0
3,3800.3,0,0,0,1,1,1,2,0,1
0,3800.3,0,0,0,1,0,0,4,0,1
1,3800.3,0,0,0,1,1,1,4,0,1
0,3800.3,0,11,10,0,0,0,7,0,1
0,3800.3,0,0,0,1,0,0,8,0,1
0,3800.3,0,7,6.999930001,0,0,0,8,0,1
1,3800.3,1,1,10,0,1,1,5,0,1
0,3800.3,0,0,0,1,0,0,3,0,0
1,1791.94,0,0,0,1,1,1,5,0,1
1,1791.94,0,0,0,1,1,1,5,0,1
0,1791.94,0,3,0.5999988,0,0,0,5,0,1
1,3800.3,0,6,5.999940001,0,1,1,6,0,1
0,1791.94,0,0,0,1,0,0,7,0,0
0,3800.3,1,1,10,0,1,0,2,0,0
2,3800.3,0,1,0.333332222,0,1,1,5,1,1
1,3800.3,0,0,0,1,1,1,6,0,0
4,3800.3,0,2,0.166666528,0,1,1,5,0,1
2,3800.3,1,0,0,1,1,1,5,0,1
1,3800.3,0,0,0,1,1,1,4,0,1
1,3800.3,0,9,4.4999775,0,1,1,3,0,1
1,3800.3,0,5,10,0,1,1,8,0,1
0,1791.94,0,0,0,1,0,0,6,0,0
3,3800.3,0,6,0.999998333,0,1,1,7,0,1
3,3800.3,0,0,0,1,1,1,9,0,1
1,3800.3,1,0,0,1,1,1,6,0,1
0,3800.3,2,0,0,1,1,0,7,0,0
